blockNumber,blockHash,timestamp,from,to,value,gas,gasPrice,txHash,txType

70000000,0x65fcc10625fb8d3e140a5b278f22a8ec975a95c971786935661f9126a1ace42c,0x61421d4c,0xcccccccc6d5f77db86097b3cb52356744e5e7fa2,0xba7114d877d85699a3d7e3a69a9e9f04aa42b5d3,0x0,0x1312d00,0x5d21dba00,0xf96e102d5299fac46469a9be60ec4b1dba4b087934e7f827bfb0398a683e5795,TxTypeLegacyTransaction

70000000,0x65fcc10625fb8d3e140a5b278f22a8ec975a95c971786935661f9126a1ace42c,0x61421d4c,null,null,null,null,null,null,null

70000001,0xb50d9e0271009e0073061806e392c82c8008e7eefd946ef809130497e7bf7770,0x61421d4d,0xa3bcbb4f68534895fcb4a4a3c08d021f0089c3af,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0x110c9111d9b26351ea0114b0c26c2e4e65353d444d52e440e21529852e2f14e0,TxTypeFeeDelegatedSmartContractExecution

70000001,0xb50d9e0271009e0073061806e392c82c8008e7eefd946ef809130497e7bf7770,0x61421d4d,0x535dd7cfeacfacdb2e4034eaf08f13c2bc3d82f2,0xdcd62c57182e780e23d2313c4782709da85b9d6c,0x0,0x419ce0,0x5d21dba00,0x053d7a98adc9d4f2113508131191121f8064f43655fb3ba7889662ad3d502de1,TxTypeFeeDelegatedSmartContractExecution

70000001,0xb50d9e0271009e0073061806e392c82c8008e7eefd946ef809130497e7bf7770,0x61421d4d,null,null,null,null,null,null,null

70000002,0xd5f363f25d43af96deff1b4a4c135faadbb3d2f2e45a1e10674926af7248947f,0x61421d4e,0xfe94983d39a840d7145474b1797340a99a152071,0x3cb3890004e8f5a6885c1d8d359e8c2946b504f3,0x0,0x5f5e100,0x5d21dba00,0x74fbd60eadb0f28653716e04919e01a83007bd91ec83f7379353b2bd20d5e0e3,TxTypeFeeDelegatedSmartContractExecution

70000002,0xd5f363f25d43af96deff1b4a4c135faadbb3d2f2e45a1e10674926af7248947f,0x61421d4e,0x409714664a3bf32563485af3b2d8e0eb8fdc2a71,0x8ce0e8f3219145a74a8f55bd752ddfb5788bdbcf,0x0,0x16e360,0x5d21dba00,0xce5492e2fa4e886d3a6346bcd263f18f89bfc57b831d03009bedece07ffb4cf5,TxTypeSmartContractExecution

70000002,0xd5f363f25d43af96deff1b4a4c135faadbb3d2f2e45a1e10674926af7248947f,0x61421d4e,0xabb17020f8640218f423682fd3d7eeb45fd720db,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0xfaf09ecdbb53d55afeec7ba755d028128a27d9722b98a9ca18987364dc680ae2,TxTypeFeeDelegatedSmartContractExecution

70000002,0xd5f363f25d43af96deff1b4a4c135faadbb3d2f2e45a1e10674926af7248947f,0x61421d4e,0x45334fe177d7bb9438bb16d3d894de340dad47d1,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0x83dc9193071b94a62f8756b751cb52d8b86222941e20b570ed20637544706ba6,TxTypeFeeDelegatedSmartContractExecution

70000002,0xd5f363f25d43af96deff1b4a4c135faadbb3d2f2e45a1e10674926af7248947f,0x61421d4e,0x13e18883c7118738d77cfda183ffe1d62adf2433,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0x593ecce3490ee537bb6fed0045b08bb93f02923fcb47d7f81a11c180f624808a,TxTypeFeeDelegatedSmartContractExecution

70000002,0xd5f363f25d43af96deff1b4a4c135faadbb3d2f2e45a1e10674926af7248947f,0x61421d4e,0xcccccccc6d5f77db86097b3cb52356744e5e7fa2,0xba7114d877d85699a3d7e3a69a9e9f04aa42b5d3,0x0,0x1312d00,0x5d21dba00,0x38d361a1cc22c95f76e34eca9a7484a0d85efff67d7c000c6ba027a657d86147,TxTypeLegacyTransaction

70000002,0xd5f363f25d43af96deff1b4a4c135faadbb3d2f2e45a1e10674926af7248947f,0x61421d4e,null,null,null,null,null,null,null

70000003,0x5ad9665e1f535872b7d05c87272086464813b8027d5fb48c77e61aa9d46ec90d,0x61421d4f,0x0429aa796bb8062d2a03adc93caa61ca24ceef8a,0x2f3713f388bc4b8b364a7a2d8d57c5ff4e054830,0x0,0x71214,0x5d21dba00,0xc27a9c950eb85c44699c7d099bfe71c600aa17b5710596d990d66929858be928,TxTypeSmartContractExecution

70000003,0x5ad9665e1f535872b7d05c87272086464813b8027d5fb48c77e61aa9d46ec90d,0x61421d4f,null,null,null,null,null,null,null

70000004,0xf4ca634c1c6d0c1f6fbdf0a7aa05b2c78c8730e7a461d259152cb01728182975,0x61421d50,0xcccccccc6d5f77db86097b3cb52356744e5e7fa2,0xba7114d877d85699a3d7e3a69a9e9f04aa42b5d3,0x0,0x1312d00,0x5d21dba00,0xdfd713c9d384f145934baa97e0271dee37b1435803f324064bb02142e21b2b86,TxTypeLegacyTransaction

70000004,0xf4ca634c1c6d0c1f6fbdf0a7aa05b2c78c8730e7a461d259152cb01728182975,0x61421d50,0x3196318b70b00717ca8df93e8876944f4bda3029,0x2afc6d4babcdfba8fad56f7d25c9f930e9c093ad,0x0,0x61a80,0x5d21dba00,0x5aa5283a6cc7d74d5cca8dac67e2f99eef07a5efa5c748a3e1bfe9fed2af5914,TxTypeLegacyTransaction

70000004,0xf4ca634c1c6d0c1f6fbdf0a7aa05b2c78c8730e7a461d259152cb01728182975,0x61421d50,0xab1341d385b35f943fd0b8ab2bbe3fa4ef186cd3,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0xa13e6b7e3d4a562b26045db74d3575b427b449dac76ab2dda10e2e06ad66b13c,TxTypeFeeDelegatedSmartContractExecution

70000004,0xf4ca634c1c6d0c1f6fbdf0a7aa05b2c78c8730e7a461d259152cb01728182975,0x61421d50,null,null,null,null,null,null,null

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0xd5ab114a753b7d2cddfbcd0554696687effb98c3,0xdcd62c57182e780e23d2313c4782709da85b9d6c,0x0,0x419ce0,0x5d21dba00,0x270b8d57e4ca008e5c1ad8797bcd60dcb2a8378b46b9ed823078bb9d1a435cdb,TxTypeFeeDelegatedSmartContractExecution

